,alias,categories,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,is_closed,location_address1,location_address2,location_address3,location_city,location_country,location_display_address,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
10,burrow-brooklyn,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.7027217,-73.9868878,,693.8065652395,nyxmTe-It-tzfagvjkge1g,https://s3-media1.fl.yelpcdn.com/bphoto/oAg_RiYyeMnUO5bY_eIOQw/o.jpg,False,68 Jay St,Ste 119,,Brooklyn,US,"['68 Jay St', 'Ste 119', 'Brooklyn, NY 11201']",NY,11201,Burrow,,$,4.5,63,[],https://www.yelp.com/biz/burrow-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
11,rex-new-york-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",40.7688770028,-73.9885788233,(212) 757-0580,7069.7371132947,lwfrB59lvpkCBw2FZD3X6w,https://s3-media1.fl.yelpcdn.com/bphoto/kp1VxDIDtfZQ3ctl32IAfw/o.jpg,False,864 10th Ave,,,New York,US,"['864 10th Ave', 'New York, NY 10019']",NY,10019,Rex,+12127570580,$,4.5,484,[],https://www.yelp.com/biz/rex-new-york-2?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
12,cafe-patoro-new-york,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.7072720975,-74.0023160353,(917) 262-0031,706.1266596183,wWhZvkaFrntlSf1CWvD1Zw,https://s3-media2.fl.yelpcdn.com/bphoto/Nnlsd9Wl7KFVVqZxtDRWpw/o.jpg,False,223 Front St,,,New York,US,"['223 Front St', 'New York, NY 10038']",NY,10038,Cafe Patoro,+19172620031,$,4.5,137,"['pickup', 'delivery']",https://www.yelp.com/biz/cafe-patoro-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
13,daily-provisions-new-york,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.73768,-73.9876685,(212) 488-1505,3624.1190065203,t4M1VX4n34eEgUWMJ7cgKw,https://s3-media3.fl.yelpcdn.com/bphoto/eojExSsIJ48n7IV1QOAi3A/o.jpg,False,103 E 19th St,,,New York,US,"['103 E 19th St', 'New York, NY 10003']",NY,10003,Daily Provisions,+12124881505,$$,4.5,298,[],https://www.yelp.com/biz/daily-provisions-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
14,penny-house-cafe-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.676044,-73.963713,(347) 240-7281,4163.579207137,ROFCA0HkLDA1KZWzAOnCxw,https://s3-media2.fl.yelpcdn.com/bphoto/2ciINwjjiASgA2HDQcwm8g/o.jpg,False,732 Washington Ave,,,Brooklyn,US,"['732 Washington Ave', 'Brooklyn, NY 11238']",NY,11238,Penny House Cafe,+13472407281,$,4.5,215,[],https://www.yelp.com/biz/penny-house-cafe-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
15,seven-grams-caffe-new-york-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",40.7456063122,-73.9942775378,(212) 727-1777,4465.7444815221,HgfzssjwDEWtdcaxSJqfqg,https://s3-media2.fl.yelpcdn.com/bphoto/QOKRbC4ppjsHXqGFSa0VmQ/o.jpg,False,275 7th Ave,,,New York,US,"['275 7th Ave', 'New York, NY 10001']",NY,10001,Seven Grams Caffe,+12127271777,$,4.5,369,"['pickup', 'delivery']",https://www.yelp.com/biz/seven-grams-caffe-new-york-3?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
16,dweebs-brooklyn,"[{'alias': 'cafes', 'title': 'Cafes'}]",40.7003712484,-73.9228504316,(347) 413-5272,6048.7727298531,pQkzgYnGnNzdCWriyGlfdg,https://s3-media2.fl.yelpcdn.com/bphoto/lKJeQmtWxgZctFuU2v30Ow/o.jpg,False,1434 Dekalb Ave,,,Brooklyn,US,"['1434 Dekalb Ave', 'Brooklyn, NY 11237']",NY,11237,Dweebs,+13474135272,$,4.5,72,[],https://www.yelp.com/biz/dweebs-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
17,sey-coffee-brooklyn,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.705318,-73.932418,(347) 871-1611,5215.7150237589,bmSYtYRPf6ycx-4xWhbHFg,https://s3-media2.fl.yelpcdn.com/bphoto/u-ELVPkaYK8piYsQxUkosw/o.jpg,False,18 Grattan St,,,Brooklyn,US,"['18 Grattan St', 'Brooklyn, NY 11206']",NY,11206,Sey Coffee,+13478711611,$,4.5,65,[],https://www.yelp.com/biz/sey-coffee-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
18,bluestone-lane-new-york-10,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.7554239,-73.9705679,(718) 374-6858,5906.0452898522,NYU2iSBy2nwBmggb07FWXA,https://s3-media2.fl.yelpcdn.com/bphoto/cx6rBga6732RSVEFCTuxVw/o.jpg,False,805 3rd Ave,,,New York,US,"['805 3rd Ave', 'New York, NY 10022']",NY,10022,Bluestone Lane,+17183746858,$,4.5,237,[],https://www.yelp.com/biz/bluestone-lane-new-york-10?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
19,kaigo-coffee-room-new-york-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.7187029822,-74.0004725371,(646) 504-5353,1563.5297646007,u0bYCPlbJ85_lDjnZQ_e3w,https://s3-media4.fl.yelpcdn.com/bphoto/b6xzD6icNoM9SJ9PnYILeQ/o.jpg,False,120C Lafayette St,,,New York,US,"['120C Lafayette St', 'New York, NY 10013']",NY,10013,Kaigo Coffee Room,+16465045353,$$,4.5,118,[],https://www.yelp.com/biz/kaigo-coffee-room-new-york-4?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
20,la-colombe-coffee-new-york-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.72396,-73.99643,(212) 625-1717,2069.5745999716,-8nEZ20KDfr4PPH47MrAOA,https://s3-media4.fl.yelpcdn.com/bphoto/6j27l5rIkTs8KOZOtc9t_Q/o.jpg,False,270 Lafayette St,,,New York,US,"['270 Lafayette St', 'New York, NY 10012']",NY,10012,La Colombe Coffee,+12126251717,$$,4.5,638,[],https://www.yelp.com/biz/la-colombe-coffee-new-york-2?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
21,round-k-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bagels', 'title': 'Bagels'}]",40.718906,-73.990966,(917) 475-1423,1523.9167334386,kuKSvCZDFrgOrY-dcrOefg,https://s3-media1.fl.yelpcdn.com/bphoto/S5rlrXJpAGtwSJS8xcJ0XA/o.jpg,False,99 Allen St,,,New York,US,"['99 Allen St', 'New York, NY 10002']",NY,10002,Round K,+19174751423,$,4.5,329,"['pickup', 'delivery']",https://www.yelp.com/biz/round-k-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
22,stumptown-coffee-roasters-new-york-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",40.7328193931,-73.9979619991,(347) 414-7802,3059.5684961992,IKB1DhFCLFY98mTt_l6u2A,https://s3-media1.fl.yelpcdn.com/bphoto/e_YMkoH2YqdLrtMAOZkZ0w/o.jpg,False,30 W 8th St,,,New York,US,"['30 W 8th St', 'New York, NY 10011']",NY,10011,Stumptown Coffee Roasters,+13474147802,$$,4.5,394,[],https://www.yelp.com/biz/stumptown-coffee-roasters-new-york-2?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
23,perk-kafe-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",40.7477647359,-73.9770407671,(212) 686-7375,4925.2051311799,xHBpwGzxxbC3vTahHWdABg,https://s3-media3.fl.yelpcdn.com/bphoto/GN_GrTR4Gm9JyqKIZOHZEw/o.jpg,False,162 E 37th St,,,New York,US,"['162 E 37th St', 'New York, NY 10016']",NY,10016,Perk Kafe,+12126867375,$,4.5,359,[],https://www.yelp.com/biz/perk-kafe-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
24,12-corners-new-york-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.7180405,-73.9972076,(212) 625-8888,1419.7954306996,Rs196agFk9VEW2mHrOwpvw,https://s3-media3.fl.yelpcdn.com/bphoto/yEkNTNvbElGSUKV62a-dlQ/o.jpg,False,121 Mott St,,,New York,US,"['121 Mott St', 'New York, NY 10013']",NY,10013,12 Corners,+12126258888,$,4.5,147,[],https://www.yelp.com/biz/12-corners-new-york-4?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
25,koneko-new-york-3,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]",40.72044,-73.98412,(646) 370-5699,1874.6275271483,zi_TJRxi0WzADbbI6Jcz3A,https://s3-media3.fl.yelpcdn.com/bphoto/hvPOjM4UlB64ObY4CsEn9w/o.jpg,False,26 Clinton St,,,New York,US,"['26 Clinton St', 'New York, NY 10002']",NY,10002,Koneko,+16463705699,$$,4.5,238,[],https://www.yelp.com/biz/koneko-new-york-3?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
26,felix-roasting-co-new-york-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.74497,-73.98312,,4493.9519130999,m4xMS2SyPJjUJJqPwv2Jig,https://s3-media3.fl.yelpcdn.com/bphoto/gwmY7ETm1nh25wUzvaXrfw/o.jpg,False,450 Park Ave S,,,New York,US,"['450 Park Ave S', 'New York, NY 10016']",NY,10016,Felix Roasting Co,,,4.5,64,[],https://www.yelp.com/biz/felix-roasting-co-new-york-3?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
27,urban-vintage-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.6879410742,-73.9628667683,(718) 783-6045,3287.4793563827,COV3XLEiAiK76Yg2HbFjWA,https://s3-media3.fl.yelpcdn.com/bphoto/2Sh17ddEaPyokvfWCIHBDA/o.jpg,False,294 Grand Ave,,,Brooklyn,US,"['294 Grand Ave', 'Brooklyn, NY 11238']",NY,11238,Urban Vintage,+17187836045,$$,4.5,264,"['pickup', 'delivery']",https://www.yelp.com/biz/urban-vintage-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
28,bkg-coffee-roasters-brooklyn-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.69404,-73.96193,,3009.1887231282,vrcfSmyE8orhd0yHSrqvgQ,https://s3-media3.fl.yelpcdn.com/bphoto/viIc9PJn3Gh89uxZfZUjeg/o.jpg,False,557 Myrtle Ave,,,Brooklyn,US,"['557 Myrtle Ave', 'Brooklyn, NY 11205']",NY,11205,BKG Coffee Roasters,,$$,4.5,67,[],https://www.yelp.com/biz/bkg-coffee-roasters-brooklyn-2?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
29,yanni-s-coffee-new-york,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.7397792,-73.9989726,(646) 833-7333,3839.7369459902,J4UF6byGVD4cf5R1hyMIxw,https://s3-media4.fl.yelpcdn.com/bphoto/XUp5IrXBI2DfcLEo5wKiHQ/o.jpg,False,96 7th Ave,,,New York,US,"['96 7th Ave', 'New York, NY 10011']",NY,10011,Yanni’s Coffee,+16468337333,,5.0,24,[],https://www.yelp.com/biz/yanni-s-coffee-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
30,butler-brooklyn,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.7117670178,-73.9646924964,,2592.1803299897,SWRz34fmNEDPcrngJMMo7Q,https://s3-media1.fl.yelpcdn.com/bphoto/HY-B75KAjTZdEbH1oshy4Q/o.jpg,False,95 S 5th St,,,Brooklyn,US,"['95 S 5th St', 'Brooklyn, NY 11249']",NY,11249,Butler ,,$$,4.5,85,[],https://www.yelp.com/biz/butler-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
31,third-rail-coffee-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.72994,-73.99959,,2765.2849385347,rd0VGG_d_qNp_aBW_HJM4w,https://s3-media3.fl.yelpcdn.com/bphoto/gqAmnRMyn18zqbEcuTb1PA/o.jpg,False,240 Sullivan St,,,New York,US,"['240 Sullivan St', 'New York, NY 10012']",NY,10012,Third Rail Coffee,,$,4.0,451,[],https://www.yelp.com/biz/third-rail-coffee-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
32,absolute-coffee-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",40.68827,-73.987569,(718) 522-0969,1995.2838490428,Qmv4SPta2zx7MhKit8ywag,https://s3-media2.fl.yelpcdn.com/bphoto/7-FjJHmxoT8JXS5lvyO13w/o.jpg,False,327 Atlantic Ave,,,Brooklyn,US,"['327 Atlantic Ave', 'Brooklyn, NY 11201']",NY,11201,Absolute Coffee,+17185220969,$$,4.5,151,[],https://www.yelp.com/biz/absolute-coffee-brooklyn?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
33,brooklyn-roasting-company-brooklyn-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.704228,-73.986241,(718) 855-1000,700.3281237079,pzqb1u_GeU-vkrk_KdFieQ,https://s3-media1.fl.yelpcdn.com/bphoto/-B_RsB5Vm0T92Ia8SctWxg/o.jpg,False,25 Jay St,,,Brooklyn,US,"['25 Jay St', 'Brooklyn, NY 11201']",NY,11201,Brooklyn Roasting Company,+17188551000,$$,4.0,474,[],https://www.yelp.com/biz/brooklyn-roasting-company-brooklyn-2?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
34,the-uncommons-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tabletopgames', 'title': 'Tabletop Games'}]",40.72933,-73.99865,(646) 543-9215,2683.8269354371,h6qbszNgXgjj9Lrb62m-9w,https://s3-media3.fl.yelpcdn.com/bphoto/QuWvwhmyv1M12gM1fXDKRw/o.jpg,False,230 Thompson St,,,New York,US,"['230 Thompson St', 'New York, NY 10012']",NY,10012,The Uncommons,+16465439215,$,4.0,325,[],https://www.yelp.com/biz/the-uncommons-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
35,blank-cafe-and-bistro-brooklyn-3,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.7107804265,-73.9678972634,,2302.6664718643,hY5TTqnKJT8w9Dhm6ZYi3A,https://s3-media4.fl.yelpcdn.com/bphoto/UWRWO7-IVKt-j5hh3CQ3AQ/o.jpg,False,25 Broadway,,,Brooklyn,US,"['25 Broadway', 'Brooklyn, NY 11249']",NY,11249,Blank Cafe & Bistro,,$,4.5,97,[],https://www.yelp.com/biz/blank-cafe-and-bistro-brooklyn-3?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
36,cafe-hanamizuki-new-york,"[{'alias': 'cafes', 'title': 'Cafes'}]",40.7474471,-73.9915989,(212) 695-5533,4675.945620348,S-619sO8qSxQcis0DBHvNw,https://s3-media2.fl.yelpcdn.com/bphoto/LpaAg0q1QA3o-Il6VQAeHQ/o.jpg,False,143 W 29th St,,,New York,US,"['143 W 29th St', 'New York, NY 10001']",NY,10001,Cafe Hanamizuki,+12126955533,$$,4.0,465,[],https://www.yelp.com/biz/cafe-hanamizuki-new-york?adjust_creative=w1T_agSsZFkZALqEYIiCXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=w1T_agSsZFkZALqEYIiCXQ
